title_uais,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Дамбо,42893,39257,38740,42064,37567,37258,37035,44097,53945,53753,57798,70869,398165,504979,238302,268942,326575,198861,141281,131974,132664,129883,152490,112967
Пляжный бездельник,180,161,346,225,219,185,323,161,212,269,3743,6414,55660,69183,57964,70586,72105,56557,39172,28609,25277,21026,24080,19890
100 вещей и ничего лишнего,0,0,0,0,0,0,0,0,0,0,0,0,49883,83420,181969,128317,231886,171126,139831,113546,112104,89792,101313,62508
Микеланджело. Бесконечность,0,0,0,0,0,0,0,0,0,0,0,74,6434,14762,6055,5837,10293,8560,15715,17159,15620,12823,13469,9211
Потерянное звено,155,69,96,35,57,41,85,103,104,101,273,1883,5988,91068,30199,26664,41495,30327,19890,19431,16703,14143,28755,33849
Щенячий патруль Мегащенки,0,0,0,0,0,0,0,0,0,0,0,0,1835,15478,14705,20262,31188,31777,32321,43129,47214,67903,60457,62833
Миа и белый лев,0,0,0,0,0,0,0,17739,9142,10064,18392,25940,35807,139254,103223,100068,73043,79824,48099,44907,44671,36860,34370,26009
Амундсен,41299,36824,34015,30380,29416,35746,85345,119517,95155,86714,107937,149233,194829,240426,193757,189504,282356,199839,222857,247022,214985,196583,200214,167206
"ПАПА, СДОХНИ",5606242,4652812,4658495,4334702,4216975,4359194,4586637,5451692,5481898,6258602,6631248,7442832,5837098,5286082,5184841,4966236,4908555,4859029,4850138,5536272,5851139,6461066,7685145,8595061
Сирано. Успеть до премьеры,0,0,0,0,0,0,0,0,0,0,267,505,1480,10386,6351,8562,12217,12261,12709,10616,9481,7229,8104,4613
Хеллбой,158502,64893,77974,117297,86096,82740,81893,139981,108407,306706,178707,146703,365986,1645022,758151,791508,1213593,640445,489410,315991,317312,226921,230113,186832
Домовой,452473,386693,383141,357553,380641,386403,401790,475848,488189,518607,508962,605496,496305,918948,798835,681775,673985,719546,545041,650980,673981,748071,723659,833756
Нежная рука закона,0,0,0,0,0,0,0,0,0,0,0,155,1724,8014,6948,5329,4674,6658,5303,4372,3317,2066,2512,1482
Миллиард,312044,410707,485785,426540,302480,307019,360687,348127,303026,537577,1316097,361569,650819,1501019,1421793,1036781,1066161,731716,596535,567588,522586,844303,3435709,496913
Проклятие плачущей,0,0,0,0,0,63,48,17151,3628,3353,9541,21012,29418,315525,236805,188867,158940,186146,105257,58809,54471,45408,82163,80697
Пушистый шпион,0,0,0,0,0,0,0,0,0,0,0,172,20345,80154,89908,63688,48487,62178,49145,52276,48738,47635,60820,48996
Нуреев. Белый ворон,0,0,12,8,0,19,28,70,41,44,87,195,2194,48948,23268,10055,6991,8571,5347,3972,4536,3753,4657,2902
Код Красный,10996,10179,11305,10078,10269,10542,11575,14339,12856,14705,13267,33221,25186,71333,38594,37118,31356,44516,31363,30340,31421,27479,28092,24467
Большое путешествие,28909,25171,23976,22487,23478,23879,24048,30325,29491,35397,30293,29673,38280,103507,189713,88336,108402,94113,89022,123773,94850,84897,102877,81580
Игры разумов,137253,84196,84652,87810,89004,101467,93540,116316,101635,96665,120938,143176,147819,285460,394711,326894,300474,240784,180268,193193,201685,183719,216966,198704
Мстители: Финал,77,191,1557,249,223,508,187,172,106,90551,155785,292370,592739,3020125,5834726,2605313,2243732,1789163,1022907,1225348,684504,565263,639738,560882
Варавва,4426,5493,6290,3159,2961,2800,5441,5320,6749,4610,7656,10282,11265,59135,42652,27825,18265,21573,15204,12999,11505,13391,24624,14565
Букашки 2,712,753,723,517,556,735,695,763,1054,1023,1344,3705,7153,22907,57291,27918,43301,34597,27611,27518,24720,19245,18266,14006
Бладфест,0,0,0,0,0,0,0,0,0,0,0,6414,22917,60663,59742,46331,59774,56332,35119,27083,21939,16567,8114,17228
В метре друг от друга,0,0,0,0,0,0,0,0,0,0,0,0,0,315721,1686277,1330343,985614,793982,453188,359836,327629,279221,290440,346656
"Щенячий патруль и Нелла, отважная принцесса",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7151,642,1271,3964,2529,3118,6269,3071,4161,3105
Последствия,1849025,1799450,1787907,1434109,1592817,1833098,2550597,3164796,2871954,2648120,2424982,2129154,2251542,2207922,2080246,1775412,1527362,1399403,1835412,2278207,2268353,2400140,2288208,2107362
Спасибо деду за Победу,7931,29613,51166,4700,3658,3431,6968,4277,4845,4175,8112,9331,13263,45366,125045,55359,77966,82351,38822,34570,33085,21074,34529,50764
Велотачки,0,0,0,0,0,0,0,0,0,0,0,0,0,1462,7428,1978,2408,3790,4483,4379,4402,3296,2147,1294
Время монстров,1324,1126,1086,1212,8425,5707,2484,1827,1753,3123,12099,24530,23018,51977,69206,74875,59424,148892,112393,89069,82948,65844,43807,48644
Отпетые мошенницы,0,0,0,0,0,0,0,0,0,0,0,36511,38840,40239,497027,479287,384810,464009,263319,220188,172648,151536,276618,196603
Коридор бессмертия,16931,11406,22428,20196,25706,20688,12890,9653,7834,7629,14381,16856,13942,23662,236086,95014,55912,72132,47717,36505,33194,30618,173071,54180
Братство,287168,234861,275116,253506,243483,294963,275835,337857,306512,338798,395540,402737,395639,397075,868030,764999,778702,711492,569850,486500,466751,480897,631548,490645
Маугли дикой планеты,0,0,0,0,0,0,0,0,0,0,0,0,400,1611,32740,11281,14336,28133,21776,20318,30894,31705,20831,19358
Война Анны,11698,14341,11675,18431,11668,7073,8791,10471,10212,13973,57873,54830,54423,62203,184592,76715,44967,48296,35288,24640,22213,27309,29518,30072
Отель Мумбаи: Противостояние,0,0,0,0,0,0,0,0,0,0,0,3496,10713,8971,84621,237000,184995,198175,187068,121891,121336,102872,110618,69507
Играй или умри,0,0,0,0,0,0,0,0,0,0,0,15621,14733,13609,46006,23353,38171,42850,37687,35653,33022,27324,28795,25785
Покемон. Детектив Пикачу,0,0,0,0,0,40,25,37,24664,11346,13458,23883,29018,25887,312378,349598,272379,281849,209829,164608,132919,106799,109874,100101
