Общий викенд,Викенд в месяце,Месяц,Даты,Дней в викенде,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,Март,с 01 март. 2018 по 04 март. 2018,3,Среднее количество зрителей,35,34,55,22,16,16,36,22,10,12,8,15,14,27,22,9,9,24,18,20,,,,,,,
10,2,Март,с 08 март. 2018 по 11 март. 2018,3,Фильм,Я худею,Излом времени,Чёрная пантера,Лёд,Пассажир,"Ну, здравствуй, Оксана Соколова!",О чем говорят мужчины. Продолжение,За гранью реальности,Мэри и ведьмин цветок,Ограбление в ураган,Гномы в доме,Довлатов,Со дна вершины,Ночные игры,МУЛЬТ в кино. Выпуск № 70,Приключения Паддингтона 2,Кавалерия,"Три билборда на границе Эббинга, Миссури",Купи меня,Ева,,,,,,,
10,2,Март,с 08 март. 2018 по 11 март. 2018,3,Сборы,"317,403,571","233,205,048","172,014,634","129,539,917","62,418,019","52,513,337","46,916,511","40,419,782","38,115,513","28,966,008","24,546,525","18,020,426","9,201,083","8,779,332","5,748,555","5,113,139","4,468,000","4,296,786","4,062,980","3,492,242",,,,,,,
10,2,Март,с 08 март. 2018 по 11 март. 2018,3,Зрители,"1,169,453","833,501","627,430","514,128","196,596","195,638","149,782","154,074","154,791","92,021","115,845","55,358","42,967","29,206","48,166","17,951","14,747","15,745","14,467","10,044",,,,,,,
10,2,Март,с 08 март. 2018 по 11 март. 2018,3,Сеансы,"24,370","25,465","14,541","7,646","4,608","12,790","3,815","6,679","2,902","4,524","2,744","1,279","2,382",990,"2,221",396,"1,829",247,"1,150",785,,,,,,,
10,2,Март,с 08 март. 2018 по 11 март. 2018,3,Сборы за сеанс,"13,024","9,157","11,829","16,942","13,545","4,105","12,297","6,051","13,134","6,402","8,945","14,089","3,862","8,868","2,588","12,911","2,442","17,395","3,533","4,448",,,,,,,
10,2,Март,с 08 март. 2018 по 11 март. 2018,3,Среднее количество зрителей,47,32,43,67,42,15,39,23,53,20,42,43,18,29,21,45,8,63,12,12,,,,,,,
11,3,Март,с 15 март. 2018 по 18 март. 2018,3,Фильм,Tomb Raider: Лара Крофт,Я худею,Шерлок Гномс,Излом времени,Чёрная пантера,Пассажир,Лёд,О чем говорят мужчины. Продолжение,"Ну, здравствуй, Оксана Соколова!",Мэри и ведьмин цветок,Страна призраков,Леди Бёрд,Ограбление в ураган,За гранью реальности,МУЛЬТ в кино. Выпуск № 71,"До свидания там, наверху","Три билборда на границе Эббинга, Миссури",Гномы в доме,Тебя никогда здесь не было,Ночные игры,,,,,,,
11,3,Март,с 15 март. 2018 по 18 март. 2018,3,Сборы,"227,802,852","111,878,922","71,871,580","46,662,829","37,951,502","27,609,608","26,693,612","12,317,034","10,984,883","9,458,242","7,143,297","6,049,634","4,826,119","4,638,401","3,063,248","2,082,849","2,032,939","2,013,268","1,897,716","1,793,189",,,,,,,
11,3,Март,с 15 март. 2018 по 18 март. 2018,3,Зрители,"747,584","416,922","314,264","188,616","141,231","86,511","106,644","37,978","45,365","38,172","25,481","19,443","18,371","21,719","25,535","6,033","7,674","10,078","4,897","7,257",,,,,,,
11,3,Март,с 15 март. 2018 по 18 март. 2018,3,Сеансы,"34,639","15,997","13,030","13,260","6,527","3,493","4,418","1,720","5,019","1,529","1,434","1,505","1,858","1,549","1,271",703,215,586,120,289,,,,,,,
11,3,Март,с 15 март. 2018 по 18 март. 2018,3,Сборы за сеанс,"6,576","6,993","5,515","3,519","5,814","7,904","6,042","7,161","2,188","6,185","4,981","4,019","2,597","2,994","2,410","2,962","9,455","3,435","15,814","6,204",,,,,,,
11,3,Март,с 15 март. 2018 по 18 март. 2018,3,Среднее количество зрителей,21,26,24,14,21,24,24,22,9,24,17,12,9,14,20,8,35,17,40,25,,,,,,,
